sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_style_enc,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_gardien_enc
2.5,10.0,165000.0,1.0,1.0,1.0,6.0,6.0,1.1764705882352942,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0
3.0,77.0,796000.0,1.0,1.0,1.0,4.0,7.5,1.2352941176470589,1.0,4.0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,32.0,329000.0,1.0,1.0,1.0,6.0,9.0,1.2941176470588236,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1
1.0,45.0,465000.0,1.0,1.75,1.0,1.0,7.0,1.3529411764705883,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1
1.0,47.0,525000.0,1.0,2.5,1.0,6.0,8.0,1.4117647058823528,1.0,2.0,0,0,0,0,0,1,0,1,0,0,1,1
3.0,191.0,1365000.0,1.0,3.25,2.5,5.5,7.0,1.4705882352941178,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,349.0,4900000.0,1.0,4.0,4.0,5.0,6.0,1.5294117647058822,1.0,8.0,0,0,0,0,0,1,0,1,0,1,1,1
1.0,65.0,799000.0,1.0,1.0,1.0,4.0,9.0,1.5882352941176472,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1
6.0,470.0,5750000.0,1.0,6.0,1.5,2.0,7.0,1.6470588235294117,1.0,8.0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,210.0,3550000.0,1.0,1.0,2.0,1.0,5.0,1.7058823529411764,1.0,5.0,0,0,0,0,0,1,0,1,1,0,1,1
2.0,67.0,1090000.0,1.0,1.0,2.0,1.0,6.0,1.7647058823529411,1.0,3.0,0,0,0,0,0,1,0,1,0,0,1,1
4.0,253.0,3500000.0,2.0,1.0,2.0,1.0,6.0,1.8235294117647058,1.0,7.0,0,0,0,0,0,1,0,1,0,0,1,0
4.0,144.0,1890000.0,1.6666666666666667,1.0,1.5,1.0,6.0,1.8823529411764706,1.0,6.0,0,0,0,0,0,1,0,1,0,0,1,1
1.0,65.0,799000.0,1.3333333333333335,1.0,1.0,4.0,9.0,1.9411764705882353,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1
8.0,439.0,4500000.0,1.0,6.0,5.0,6.0,6.0,2.0,1.0,10.0,0,0,0,0,0,1,1,0,0,0,1,1
4.0,238.0,5950000.0,1.0,3.0,3.0,2.0,8.0,2.0,1.0,7.0,0,0,0,0,0,1,0,0,1,0,1,1
4.0,455.0,7400000.0,1.0,3.0,3.0,5.0,6.0,1.8571428571428572,1.0,8.0,0,0,1,0,0,1,0,0,0,1,0,1
